# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4 
TYPE F F F 
COUNT 1 1 1 
WIDTH 94645
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 94645
DATA ascii 
 -5.5472608 -1.2541937 0.6377366
 -12.6569118 -0.2310772 8.1493473
 -14.2216511 0.1831808 9.4436817
 -13.9779110 0.3522579 9.2844448
 -14.1808681 0.3741660 9.5574064
 -12.5832844 -0.2088573 8.4205685
 -12.7000294 -0.0967247 8.5597830
 -12.7255449 0.0817412 9.1918154
 -12.9785023 -0.0152193 9.4669867
 -14.1689529 0.2047682 9.4507313
 -12.1693878 -0.0583106 8.6207285
 -14.2253895 0.1827123 9.4498787
 -12.8367481 0.0783111 9.3588400
 -12.2574492 -0.1658354 8.5811281
 -13.8843107 0.3620767 9.4752417
 -13.9838572 0.3698852 9.3857746
 -14.0418758 0.3675743 9.3749733
 -12.5304508 -0.2018156 8.6753597
 -14.1251888 0.3661950 9.4299383
 -14.0709171 0.3629391 9.7040138
 -12.3479443 -0.1451252 8.6423283
 -14.4202499 0.3242633 9.6539602
 -14.3551254 0.2504050 9.5862865
 -12.1786995 -0.4281790 8.3992262
 -12.9770365 0.0865748 9.4716063
 -13.9316359 0.2988781 9.7959394
 -13.9042625 0.2743097 9.7867832
 -14.7391796 0.2790926 10.0726175
 -14.4739285 0.1988539 9.8213100
 -12.5550900 -0.2578190 8.4466553
 -11.7338800 -0.1391972 8.1322508
 -12.4118643 -0.2672423 7.9336805
 -12.5422831 -0.4106711 8.1059647
 -14.4703588 0.2524756 9.7678146
 -12.5877838 -0.0207230 9.0474424
 -13.6441059 0.2173418 8.7985697
 -13.1186714 0.3401411 8.8259850
 -12.5425339 0.2044679 8.9813604
 -12.0517483 -0.0917415 8.0557833
 -12.2523565 -0.0538471 8.2078304
 -12.4829302 -0.0267959 8.9169598
 -13.0117989 0.3387583 8.4549341
 -12.8291245 0.2492689 8.5435667
 -12.3312674 -0.1458611 7.9504514
 -12.4470224 0.3101223 8.4689169
 -12.9935560 0.3429569 8.3945608
 -10.7160826 -0.1337772 8.3151646
 -13.1322145 0.3453388 8.2843761
 -13.0092583 0.3402440 8.4127884
 -13.1481438 0.3368928 8.7089157
 -12.4949036 -0.0402836 8.0131073
 -12.6837769 0.2233875 8.8492250
 -13.2857199 0.3558681 8.3876858
 -13.2670298 0.3592980 8.3587036
 -12.7243423 0.3252630 8.4163246
 -12.7384396 -0.0181058 9.1944008
 -13.7274323 0.3595257 8.9565601
 -13.5063982 0.3499231 9.1393080
 -13.4595747 0.3521473 9.3415174
 -13.3741083 0.3452652 9.2172899
 -12.5038691 -0.0086768 8.9394073
 -11.3561296 0.3002805 6.6375489
 -10.0979261 0.2421090 6.3680630
 -9.2138901 -0.3685502 6.5362654
 -11.3883104 0.3092764 6.6101809
 -11.3402681 0.2182572 6.5679741
 -11.5574646 0.1532948 6.7083564
 -11.4382772 0.2631196 6.6861563
 -11.5520344 0.1907874 6.6946931
 -10.0804586 0.2542721 6.3778286
 -10.0980587 0.2444283 6.3646703
 -10.4407721 0.2161483 6.3968673
 -13.3145514 0.4819116 8.9395628
 -13.8511105 0.2513552 9.0174007
 -12.5521879 -0.2152632 7.9829855
 -13.2604227 0.3447450 8.8508768
 -13.0339003 0.3346955 8.5442629
 -13.3841448 0.3458980 9.2257299
 -12.0128450 0.1905344 8.1086826
 -12.7560291 0.1509678 9.2696934
 -12.7612801 -0.0294014 9.2581186
 -12.6250076 0.2083907 9.1065788
 -14.4929466 0.2630956 9.7661381
 -14.0258369 0.3524848 9.6641989
 -14.3539829 0.2499404 9.5853300
 -14.3283253 0.2288377 9.5480232
 -14.0350389 0.3654646 9.6703415
 -14.3320780 0.2284357 9.5581646
 -14.5436707 0.3489096 9.8478460
 -13.8197680 0.3233116 9.6504097
 -14.3567333 0.3460961 10.0700293
 -14.1155348 0.3427312 9.9474115
 -14.2572889 0.3681565 9.9650383
 -13.2260094 0.3342441 9.2153845
